TEAM,FG_PCT,FT_PCT,FG3A,FG3_PCT
ATL,0.48,0.77,264.33,0.37
BKN,0.48,0.8,264.0,0.36
BOS,0.47,0.82,327.12,0.35
CHA,0.49,0.73,358.38,0.37
CHI,0.48,0.75,244.88,0.36
CLE,0.47,0.77,310.0,0.36
DAL,0.44,0.78,309.22,0.35
DEN,0.47,0.8,247.55,0.34
DET,0.44,0.78,254.0,0.34
GSW,0.48,0.75,286.8,0.36
HOU,0.46,0.73,274.9,0.34
IND,0.46,0.81,269.67,0.35
LAC,0.46,0.8,280.3,0.37
LAL,0.47,0.74,267.11,0.36
MEM,0.47,0.75,255.44,0.36
MIA,0.48,0.84,329.62,0.37
MIL,0.46,0.78,270.4,0.37
MIN,0.46,0.76,344.33,0.36
NOP,0.46,0.79,235.78,0.35
NYK,0.46,0.76,314.78,0.35
OKC,0.43,0.76,207.54,0.32
ORL,0.44,0.78,261.4,0.33
PHI,0.44,0.85,252.4,0.35
PHX,0.48,0.81,306.12,0.36
POR,0.44,0.79,249.62,0.34
SAC,0.47,0.78,220.67,0.32
SAS,0.47,0.74,285.57,0.36
TOR,0.44,0.76,289.22,0.34
UTA,0.48,0.77,346.44,0.36
WAS,0.47,0.79,250.25,0.35
